Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaApp;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común A2 / Técnico;11;tec-comun-t02_1;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, sus disposiciones se aplicarán a:;A los servicios sanitarios de financiación pública y a los privados, en los mismos términos.;A los servicios sanitarios de financiación pública. También a los privados en lo que se refiere al control de las actividades de salud pública y en materia de garantías de información, seguridad y calidad.;A los servicios sanitarios de financiación pública y a los privados concertados.;Únicamente a los servicios sanitarios de financiación pública.;D;B;B;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;"Art. 14 Ley 16/2003: La atención sociosanitaria comprende el conjunto de cuidados destinados a aquellos enfermos, generalmente crónicos, que por sus especiales características pueden beneficiarse de la actuación simultánea y sinergética de los servicios sanitarios y sociales. Respuesta A.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;14;tec-comun-t02_4;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del SNS, la cartera común básica de servicios asistenciales comprende:;"Actividades asistenciales de prevención, diagnóstico, tratamiento y rehabilitación + transporte urgente + farmacéutica + ortoprotésica; cubiertos completamente por financiación pública.";"Actividades asistenciales de prevención, diagnóstico, tratamiento y rehabilitación + transporte urgente + farmacéutica; cubiertos completamente por financiación pública.";"Actividades asistenciales de prevención, diagnóstico, tratamiento y rehabilitación + transporte urgente + ortoprotésica; cubiertos completamente por financiación pública.";"Actividades asistenciales de prevención, diagnóstico, tratamiento y rehabilitación + transporte sanitario urgente; cubiertos completamente por financiación pública.";A;D;D;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;"Art. 7 Ley 16/2003: La cartera de servicios comunes del SNS se establece mediante Real Decreto del Consejo de Ministros, a propuesta del Ministro de Sanidad, previo acuerdo del Consejo Interterritorial. Se actualiza periódicamente. La C recoge correctamente el procedimiento de aprobación y actualización. Respuesta C.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;15;tec-comun-t02_5;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del SNS, la cartera común suplementaria incluirá las siguientes prestaciones:;Únicamente la prestación farmacéutica.;Únicamente la prestación ortoprotésica.;Únicamente la prestación farmacéutica y la prestación ortoprotésica.;La prestación farmacéutica, la prestación ortoprotésica y la prestación con productos dietéticos.;C;D;D;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;"Art. 8 ter Ley 16/2003: cartera suplementaria = farmacéutica + ortoprotésica + productos dietéticos; con aportación del usuario.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;16;tec-comun-t02_6;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del SNS, la prestación de atención primaria no comprenderá:;La atención a la salud bucodental.;La atención paliativa a personas enfermas terminales.;La rehabilitación básica.;Ninguna de las respuestas anteriores es correcta.;C;D;D;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;"Art. 12 Ley 16/2003: La atención primaria es el nivel básico e inicial de atención, garantiza la globalidad y continuidad de la atención a lo largo de toda la vida del paciente, actuando como gestor y coordinador de casos y regulador de flujos. La A recoge estas características. Respuesta A.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;18;tec-comun-t02_8;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del SNS, la exclusión de una técnica o procedimiento de la cartera de servicios se llevará a cabo cuando:;Se evidencie su falta de eficacia, efectividad o eficiencia, o que el balance beneficio-riesgo sea significativamente desfavorable.;Requiera una formación para la que no exista la especialidad médica correspondiente.;Hayan cambiado las condiciones económicas de su implantación.;Todas las respuestas anteriores son correctas.;B;A;A;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;"Art. 9.2 Ley 16/2003: la exclusión procede por falta de eficacia, efectividad o eficiencia, o balance beneficio-riesgo desfavorable.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;20;tec-comun-t02_10;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del SNS, la declaración de actuaciones coordinadas en salud pública y seguridad alimentaria deberán encuadrarse en alguno de los supuestos siguientes:;Responder a situaciones de especial riesgo o alarma para la salud pública.;Establecer planes preventivos para hacer frente a situaciones de especial riesgo o alarma para la salud pública.;Realizar análisis epidemiológicos que permitan establecer estructuras y recursos según previsiones en salud pública.;Las respuestas a) y b) son verdaderas y la c) es falsa.;B;D;D;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;"Art. 65 Ley 16/2003: actuaciones coordinadas para responder a riesgo/alarma (a) o establecer planes preventivos (b). Los análisis epidemiológicos (c) no son supuesto de declaración coordinada.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;22;tec-comun-t03_2;La condición de personal estatutario fijo se adquiere, tal y como prevé la Ley 55/2003, de 16 de diciembre, del Estatuto Marco, por el cumplimiento de los siguientes requisitos:;Incorporación a una plaza de servicio, institución o centro que corresponda en el plazo fijado en la convocatoria tras la superación de las pruebas de selección.;"Superación de las pruebas de selección; nombramiento conferido por el órgano competente; e incorporación a una plaza del servicio, institución o centro que corresponda en el plazo de un mes.";"Superación de las pruebas de selección; nombramiento conferido por el órgano competente; e incorporación, previo cumplimiento de los requisitos formales en cada caso establecidos, a una plaza del servicio, institución o centro que corresponda en el plazo determinado en la convocatoria.";"Superación de las pruebas de selección; nombramiento conferido por el órgano competente; e incorporación a una plaza del servicio, institución o centro que corresponda en todo caso en el plazo determinado en la convocatoria.";B;C;C;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;Art. 20.1 Ley 55/2003: la condición de personal estatutario fijo requiere: superación de pruebas + nombramiento + incorporación previo cumplimiento de requisitos formales, en el plazo de la convocatoria.
Común A2 / Técnico;25;tec-comun-t03_5;Conforme a la Ley 55/2003, de 16 de diciembre, del Estatuto Marco, señale cuál de las siguientes afirmaciones no es correcta:;La jubilación puede ser forzosa o voluntaria.;Para que la persona interesada pueda prolongar su permanencia en servicio activo hasta cumplir los 70 años, bastará con que lo solicite voluntariamente.;La jubilación forzosa se declarará al cumplir la persona interesada 65 años.;Podrá optar a la jubilación voluntaria, total o parcial, el personal estatutario que reúna los requisitos establecidos en la legislación de Seguridad Social.;C;B;B;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;"Art. 26 Ley 55/2003 y legislación aplicable: la prolongación del servicio activo más allá de la edad de jubilación no depende solo de la solicitud voluntaria; está sujeta a condiciones y a la valoración de la administración. La opción B es incorrecta al decir que ""bastará con que lo solicite""."
Común A2 / Técnico;26;tec-comun-t03_6;Procede la extinción de la condición de personal estatutario fijo de los servicios de salud:;Cuando se produzca la pérdida de la nacionalidad.;En caso de recaer sanción firme disciplinaria de separación del servicio.;Siempre que se imponga una pena principal o accesoria de inhabilitación especial para empleo o cargo público o para el ejercicio de la correspondiente profesión.;Todas las anteriores respuestas son correctas.;C;D;D;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;Art. 26 Ley 55/2003: la condición estatutaria se extingue por: pérdida de la nacionalidad (a), separación del servicio por sanción firme (b), e inhabilitación especial (c). Todas son causas de extinción.
Común A2 / Técnico;27;tec-comun-t03_7;En materia de retribuciones, la Ley 55/2003, de 16 de diciembre, del Estatuto Marco, prevé que:;El sistema retributivo del personal estatutario se estructura en retribuciones básicas y retribuciones complementarias.;La evaluación del personal estatutario a efectos de determinación de una parte de las retribuciones complementarias se establecerá a través de procedimientos fundados en los principios de igualdad, objetividad y transparencia.;El sistema retributivo del personal estatutario responde a los principios de cualificación técnica y profesional.;Todas las respuestas son correctas.;B;D;D;No;Red Flag ← corregir;CORREGIR: cambiar a respuesta Kaixo/Osasun;Art. 41 Ley 55/2003: el sistema retributivo comprende retribuciones básicas y complementarias (a), la evaluación se basa en igualdad, objetividad y transparencia (b), y el sistema responde a principios de cualificación técnica y profesional (c). Todo correcto.
