Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaApp;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común A2 / Técnico;12;tec-comun-t02_2;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la ciudadanía tendrá los siguientes derechos en el conjunto del Sistema Nacional de Salud:;A recibir asistencia sanitaria en su comunidad autónoma de residencia.;A recibir el reembolso de los gastos derivados de la asistencia en la sanidad privada cuando se trate de servicios recogidos en el catálogo del SNS.;A recibir el reembolso de los gastos derivados de la asistencia sanitaria del catálogo del SNS que pudiera requerir del servicio de salud de la comunidad autónoma en la que se encuentre desplazado/a.;Ninguna de las respuestas anteriores es correcta.;B;D;A;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 7 Ley 16/2003: La cartera de servicios comunes del SNS se establece mediante Real Decreto del Consejo de Ministros, a propuesta del Ministro de Sanidad, previo acuerdo del Consejo Interterritorial. Se actualiza periódicamente. La C recoge correctamente el procedimiento de aprobación y actualización. Respuesta C.
Común A2 / Técnico;21;tec-comun-t03_1;Según dispone la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, la ordenación del régimen personal estatutario de los servicios de salud se rige por una serie de principios y criterios. Señale cuales no están entre los mencionados por esta ley.;Sometimiento pleno a la ley y el derecho.;Igualdad, mérito, capacidad y promoción en el acceso a la condición de personal estatutario.;Integración en el régimen organizativo y funcional del servicio de salud y de sus centros e instituciones.;Coordinación, cooperación y mutua información entre las Administraciones sanitarias públicas.;D;B;D;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;"Art. 2 Ley 55/2003: los principios son sometimiento pleno a la ley (a), integración en el régimen organizativo (c), coordinación y cooperación (d), entre otros. La opción B (""promoción en el acceso"") no figura literalmente como principio del art. 2; el art. 2 habla de igualdad, mérito y capacidad pero no incluye ""promoción"" en el acceso."
Común A2 / Técnico;24;tec-comun-t03_4;La pérdida de la condición de personal estatutario regulada en la Ley 55/2003, de 16 de diciembre, del Estatuto Marco, se produce:;Siempre en caso de pena de inhabilitación especial para empleo o cargo público, afecte o no al correspondiente nombramiento.;En caso de que se adopte la pena de inhabilitación absoluta sea firme o no.;En caso de que se adopte la pena de inhabilitación especial para la correspondiente profesión, siempre que esta exceda de seis años.;En caso de que se adopte la pena de inhabilitación especial para la correspondiente profesión, siempre que esta exceda de tres años.;A;B;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;"Art. 26.1.e) Ley 55/2003: la pérdida de condición se produce por pena de inhabilitación especial para la profesión cuando excede de tres años (o absoluta firme, sin plazo).
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;29;tec-comun-t03_9;La pérdida de la condición de personal estatutario de los servicios de salud se produce cuando la incapacidad permanente sea declarada:;En grado de incapacidad permanente total para la profesión habitual.;En grado de incapacidad absoluta para todo trabajo.;En grado de gran invalidez.;Todas las respuestas son correctas.;C;D;B;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 26.1.c) Ley 55/2003: la extinción procede en los casos de incapacidad permanente total para la profesión habitual, absoluta o gran invalidez, según lo previsto en la normativa aplicable.
Común A2 / Técnico;31;tec-comun-t03_11;Para el personal estatutario de los servicios de salud, el período nocturno tendrá la siguiente duración:;Mínima de siete horas e incluirá necesariamente el período comprendido entre las cero y las cinco horas de cada día natural.;Mínima de ocho horas e incluirá necesariamente el período comprendido entre las cero y las cinco horas de cada día natural.;Mínima de ocho horas e incluirá necesariamente el período comprendido entre las doce y las cinco horas de cada día natural.;Mínima de siete horas e incluirá necesariamente el período comprendido entre las doce y las cinco horas de cada día natural.;B;A;B;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 49.5 Ley 55/2003: el período nocturno tendrá duración mínima de siete horas e incluirá necesariamente el período entre las cero y las cinco horas de cada día natural.
Común A2 / Técnico;32;tec-comun-t03_12;Según establece la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud:;Resulta incompatible para el personal estatutario de los servicios de salud el ejercicio de las funciones sanitarias con cualquier otro tipo de funciones.;Al personal estatutario de los servicios de salud le resulta aplicable el mismo régimen de incompatibilidades establecido para el personal funcionario.;Atendiendo a lo que establezca la legislación vigente, el personal estatutario de los servicios de salud podrá compatibilizar las funciones sanitarias y docente.;Para el personal licenciado sanitario el complemento específico resulta irrenunciable.;D;C;A;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 54 Ley 55/2003: La jornada ordinaria de trabajo del personal estatutario será la que establezca cada Servicio de Salud, sin que pueda exceder de la jornada general del personal al servicio de la Administración Pública de la respectiva Comunidad Autónoma. Respuesta B.
Común A2 / Técnico;33;tec-comun-t03_13;La Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud regula el descanso semanal. Señale la respuesta que no es correcta:;El personal tendrá derecho a un período mínimo que siempre será fijo de descanso ininterrumpido con una duración media de 24 horas semanales.;El período de referencia para el cálculo del período de descanso semanal será de tres meses.;En el caso de que no se hubiera disfrutado del tiempo mínimo de descanso semanal en el período de tres meses se producirá una compensación a través del régimen de descansos alternativos.;El período de referencia para el cálculo del período de descanso semanal será de dos meses.;A;B;D;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 38 Ley 55/2003: La promoción interna temporal consiste en la ocupación transitoria de plazas de categoría superior, manteniéndose la relación estatutaria de origen. Tiene carácter excepcional y requiere cumplir los requisitos exigidos para el ingreso en la categoría superior. Respuesta C.
Común A2 / Técnico;35;tec-comun-t03_15;La excedencia voluntaria solicitada por el personal estatutario de los servicios de salud por interés particular exige haber prestado servicios efectivos en cualquiera de las Administraciones públicas durante:;Los cinco años inmediatamente anteriores.;Los cuatro años inmediatamente anteriores.;Los dos años inmediatamente anteriores.;Los tres años inmediatamente anteriores.;D;A;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 62.1 Ley 55/2003: la excedencia voluntaria por interés particular requiere haber prestado servicios efectivos durante los cinco años inmediatamente anteriores.
Común A2 / Técnico;42;tec-comun-t04_7;El contrato-programa, tal y como establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi:;Es el instrumento jurídico mediante el que se articulan las relaciones entre el Gobierno Vasco y las organizaciones del ente público Osakidetza para la provisión de servicios sanitarios.;Es el instrumento jurídico mediante el que se articulan de manera directa las relaciones entre el Departamento competente en materia de sanidad y las organizaciones del ente público Osakidetza que tiene naturaleza jurídica de concierto.;Es el instrumento jurídico mediante el que se articulan de manera directa las relaciones entre el Departamento competente en materia de sanidad y las organizaciones del ente público Osakidetza que tiene naturaleza jurídica de un convenio de carácter especial.;Ninguna respuesta es correcta.;B;C;A;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 8 Ley 8/1997: El Consejo Vasco de Salud es el órgano consultivo y de participación en materia sanitaria del Gobierno Vasco, presidido por el Consejero competente en sanidad, e integrado por representantes de las Administraciones implicadas, de los agentes sociales y de las organizaciones de consumidores y usuarios. La C recoge esta configuración. Respuesta C.
Común A2 / Técnico;44;tec-comun-t04_9;Según establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi:;El Plan de Salud de Euskadi debe ser aprobado por el Parlamento Vasco.;El Departamento competente en materia de sanidad debe elaborar semestralmente y remitir al Parlamento un informe con la evaluación de los objetivos y determinaciones del Plan de Salud de Euskadi.;El Departamento competente en materia de sanidad debe elaborar anualmente y remitir al Parlamento un informe con la evaluación de los objetivos y determinaciones del Plan de Salud de Euskadi.;Son correctas las respuestas a) y c).;C;D;B;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 8 Ley 8/1997: El Consejo Vasco de Salud es el órgano consultivo y de participación en materia sanitaria del Gobierno Vasco, presidido por el Consejero competente en sanidad, e integrado por representantes de las Administraciones implicadas, de los agentes sociales y de las organizaciones de consumidores y usuarios. La C recoge esta configuración. Respuesta C.
