Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Confianza;Estado;Acción;Explicación_app
Común C2 (AUX + ADM);23;comun-t02_3;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la ciudadanía tendrá los siguientes derechos en el conjunto del Sistema Nacional de Salud:;A recibir asistencia sanitaria en su comunidad autónoma de residencia.;A recibir el reembolso de los gastos derivados de la asistencia en la sanidad privada cuando se trate de servicios recogidos en el catálogo de prestaciones del Sistema Nacional de Salud.;A recibir el reembolso de los gastos derivados de la asistencia sanitaria del catálogo de prestaciones del Sistema Nacional de Salud que pudiera requerir del servicio de salud de la comunidad autónoma en la que se encuentre desplazado/a.;Ninguna de las respuestas anteriores es correcta.;C;A;D;A;C;No;13.1%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Art. 7 Ley 16/2003: La cartera de servicios comunes del SNS se establece mediante Real Decreto del Consejo de Ministros, a propuesta del Ministro de Sanidad, previo acuerdo del Consejo Interterritorial. Se actualiza periódicamente. La C recoge correctamente el procedimiento de aprobación y actualización. Respuesta C.
Común C2 (AUX + ADM);58;comun-t03_17;La Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud regula el descanso semanal. Señale la respuesta que no es correcta:;El personal tendrá derecho a un período mínimo que siempre será fijo de descanso ininterrumpido con una duración media de 24 horas semanales.;El período de referencia para el cálculo del período de descanso semanal será de tres meses.;En el caso de que no se hubiera disfrutado del tiempo mínimo de descanso semanal en el período de tres meses se producirá una compensación a través del régimen de descansos alternativos.;El período de referencia para el cálculo del período de descanso semanal será de dos meses.;C;D;B;D;A;No;15.3%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Art. 38 Ley 55/2003: La promoción interna temporal consiste en la ocupación transitoria de plazas de categoría superior, manteniéndose la relación estatutaria de origen. Tiene carácter excepcional y requiere cumplir los requisitos exigidos para el ingreso en la categoría superior. Respuesta C.
Común C2 (AUX + ADM);81;comun-t04_20;El ente público Osakidetza-Servicio Vasco de Salud es:;El Ente Institucional de la Comunidad Autónoma, de naturaleza pública y bajo la calificación de ente público de derecho privado o público.;El Ente Institucional de la Comunidad Autónoma, de naturaleza pública y bajo la calificación de ente público de derecho público;El Ente Institucional de la Comunidad Autónoma, de naturaleza pública y bajo la calificación de ente público de derecho privado;Las tres anteriores son erróneas;A;D;C;D;A;No;13.1%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Art. 31 Ley 8/1997 y Decreto 255/1997: Osakidetza es un ente público de derecho privado, con personalidad jurídica propia y plena capacidad para el cumplimiento de sus fines, sometido al derecho privado en sus relaciones externas excepto en el ejercicio de potestades públicas. No es organismo autónomo ni agencia, sino ente público. Respuesta A.
Común C2 (AUX + ADM);100;comun-t04_31;En el ámbito de una organización de servicios sanitarios del ente público Osakidetza-Servicio Vasco de Salud, presidir los Consejos Técnicos de participación profesional y promover su eficaz funcionamiento es una tarea que corresponde a:;La Dirección General del Ente.;Quien ostente la titularidad de la Dirección-Gerencia del Ente.;La Dirección Médica del Ente.;Ninguna de las anteriores.;B;D;C;D;B;No;13.1%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Decreto 255/1997: La presidencia de los Consejos Técnicos de participación profesional y promover su eficaz funcionamiento corresponde a 'quien ostente la titularidad de la DIRECCIÓN-GERENCIA del Ente.' Respuesta B.
Común C2 (AUX + ADM);107;comun-t04_38;Según el Decreto 100/2018 de las organizaciones sanitarias integradas del ente público Osakidetza-Servicio Vasco de Salud, para que una OSI sea clasificada como de Tipo III debe integrar, junto con servicios de atención primaria, un hospital de carácter general y tener una base poblacional atendida inferior a:;500.000 habitantes.;200.000 habitantes.;300.000 habitantes.;100.000 habitantes.;B;D;C;D;B;No;13.1%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Art. 4 Decreto 100/2018: Las OSI de Tipo III integran atención primaria con hospital general y tienen una base poblacional atendida inferior a 200.000 habitantes. Respuesta B.
Común C2 (AUX + ADM);124;comun-t04_55;El Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, distingue bloques de derechos relacionados con los siguientes ámbitos:;"Relaciones asistenciales; participación responsable en la gestión de la propia salud; organización y gestión del sistema sanitario de Euskadi; políticas sanitarias específicas; asistencia sanitaria específica vinculada a la infancia y adolescencia; asistencia sanitaria específica referida a la salud sexual y reproductiva; asistencia sanitaria específica referida a las personas mayores; asistencia sanitaria específica referida al final de la vida; participación en la investigación biomédica; obtención de la Tarjeta Individual Sanitaria.";"Relaciones asistenciales; participación responsable en la gestión de la propia salud; organización y gestión del sistema sanitario de Euskadi; políticas sanitarias específicas; asistencia sanitaria específica vinculada a la infancia y adolescencia; asistencia sanitaria específica referida a la salud sexual y reproductiva; asistencia sanitaria específica referida a las personas mayores; asistencia sanitaria específica referida al final de la vida; derechos en relación con la docencia del personal sanitario, obtención de la Tarjeta Individual Sanitaria.";"Relaciones asistenciales; participación responsable en la gestión de la propia salud; organización y gestión del sistema sanitario de Euskadi; políticas sanitarias específicas; asistencia sanitaria específica vinculada a la infancia y adolescencia; asistencia sanitaria específica referida a la salud sexual y reproductiva; asistencia sanitaria específica referida a las personas mayores; asistencia sanitaria específica referida al final de la vida; medidas de salud pública; obtención de la Tarjeta Individual Sanitaria.";"Relaciones asistenciales; participación responsable en la gestión de la propia salud; organización y gestión del sistema sanitario de Euskadi; políticas sanitarias específicas; asistencia sanitaria específica vinculada a la infancia y adolescencia; asistencia sanitaria específica referida a la salud sexual y reproductiva; asistencia sanitaria específica referida a las personas mayores; asistencia sanitaria específica referida al final de la vida; obtención de la Tarjeta Individual Sanitaria.";B;C;D;C;A;No;15.3%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Ámbitos D.147/2015 incluyen investigación biomédica.
Común C2 (AUX + ADM);290;comun-t18_10;Según la Ley Orgánica 3/2021, de 24 de marzo, de regulación de la eutanasia, ¿cuál es el plazo que tiene la persona facultativa responsable para comunicar la resolución favorable a la Comisión de Garantía y Evaluación para su posterior verificación?;Dentro de las 24 horas siguientes a la resolución.;Dentro del día siguiente natural a la resolución.;7 días desde la resolución favorable.;No existe un plazo establecido para esta comunicación.;B;D;A;D;B;No;13.1%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Art. 3 LO 3/2021: La ley distingue entre 'eutanasia' (médico administra directamente la sustancia) y 'suicidio médicamente asistido' (médico prescribe o suministra la sustancia pero la administra la propia persona). Respuesta B.
Común A2 / Técnico;1;tec-comun-t01_1;De acuerdo con las normas generales de ordenación de las profesiones sanitarias, para poder ejercer una profesión sanitaria será requisito imprescindible:;La colegiación, cuando una ley estatal establezca esta obligación para el ejercicio de una profesión titulada o algunas actividades propias de ésta.;"La inexistencia de inhabilitación o suspensión para el ejercicio profesional por sentencia judicial, aunque no sea firme, durante el periodo de tiempo que fije ésta; por resolución sancionadora impuesta por un colegio profesional sanitario, cuando una ley estatal establezca para este ejercicio la obligación de pertenecer al colegio profesional respectivo durante el periodo de tiempo que fije ésta; o por resolución administrativa sancionadora firme, durante el periodo de tiempo que fije ésta, cuando se ejerza la profesión en el ámbito de la asistencia sanitaria pública.";Tener suscrito y vigente un seguro de responsabilidad, un aval u otra garantía financiera, ya sean de protección personal o colectiva, que cubra las indemnizaciones que se puedan derivar de la responsabilidad profesional por un eventual daño a las personas, causado con ocasión de la prestación de tal asistencia o servicios, cuando se ejerza la profesión en el ámbito de la asistencia sanitaria pública.;Todo lo anterior.;C;D;A;D;D;No;14.0%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Art. 2 Ley 44/2003: Para ejercer una profesión sanitaria son requisitos: la colegiación (cuando ley estatal la exija), la inexistencia de inhabilitación o suspensión, Y tener suscrito seguro de responsabilidad cuando se ejerza en asistencia sanitaria pública. Al tratarse de requisitos acumulativos, 'todo lo anterior' es la respuesta correcta. Respuesta D.
Común A2 / Técnico;48;tec-comun-t04_13;Según establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi, en materia de sanciones señale la respuesta correcta:;Las infracciones serán sancionadas exclusivamente con sanción pecuniaria o económica.;En los casos de infracciones muy graves, el Gobierno Vasco podrá acordar el cierre temporal del establecimiento por un plazo máximo de cinco años.;Sin perjuicio de la multa que proceda imponer, en ciertos casos, la sanción económica que se imponga podrá ser incrementada hasta el triple de la cuantía del beneficio ilícito obtenido.;En los casos de infracciones muy graves, el Gobierno Vasco podrá acordar el cierre temporal del establecimiento por un plazo máximo de tres años.;C;A;B;C;A;No;25.8%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Art. 49 Ley 8/1997: en determinados casos, la sanción económica puede incrementarse hasta el triple del beneficio ilícito obtenido. El cierre temporal máximo es 5 años (no 3), y las sanciones no son solo pecuniarias.
Común A2 / Técnico;80;tec-comun-t05_15;Según el Artículo 19.1 del Decreto 100/2018 de las OSI de Osakidetza, ¿quién ejerce la presidencia del Consejo Clínico Asistencial?;La persona titular de la Dirección Gerencia.;La persona titular de la Dirección Médica.;La persona titular de la Dirección de Enfermería.;La persona de mayor antigüedad en la vocalía de Atención Primaria.;A;D;B;A;?;No;36.3%;Disputa / Duda;REVISAR MANUALMENTE: consulta texto legal;Art. 19.1 Decreto 100/2018: la presidencia del Consejo Clínico Asistencial corresponde a la persona titular de la Dirección Gerencia de la OSI.
