Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común C2 (AUX + ADM);24;comun-t02_4;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la cartera común de servicios del Sistema Nacional de Salud se articula en torno a las siguientes modalidades:;Cartera común básica de servicios asistenciales, cartera común suplementaria y cartera común de servicios accesorios.;Cartera común básica nacional de servicios asistenciales y cartera común autonómica de servicios asistenciales.;Cartera común nacional básica de servicios asistenciales, cartera común suplementaria autonómica y cartera común de servicios accesorios autonómicos.;Cartera común nacional y autonómica básica de servicios asistenciales, cartera común nacional y autonómica suplementaria y cartera común nacional y autonómica de servicios accesorios.;A;B;A;B;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 8bis SNS: tres modalidades (básica, suplementaria, accesorios).
Común C2 (AUX + ADM);34;comun-t02_14;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, los servicios de referencia:;Serán designados en el seno del Consejo Interterritorial del Sistema Nacional de Salud y acreditados por el Ministerio de Sanidad y Consumo.;Serán designados en el seno del Consejo Interterritorial del Sistema Nacional de Salud y acreditados por la autoridad correspondiente de la Comunidad Autónoma donde se ubiquen.;Serán designados y acreditados en el seno del Consejo Interterritorial del Sistema Nacional de Salud.;Serán designados en el seno del Consejo Interterritorial del Sistema Nacional de Salud, acreditados por el Ministerio de Sanidad y Consumo y financiados por la Comunidad Autónoma donde se ubiquen.;B;D;A;D;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 15 Ley 16/2003: La atención de urgencia se presta al paciente en los casos en que su situación clínica obliga a una atención sanitaria inmediata, garantizándose en todos los centros sanitarios públicos, privados y en los espacios públicos. La B recoge correctamente la definición y alcance. Respuesta B.
Común C2 (AUX + ADM);43;comun-t02_21;El personal estatutario de los servicios de salud que conforman el Sistema Nacional de Salud:;No ostenta el derecho individual a la libre sindicación.;Ostenta el derecho a la actividad sindical.;Ostenta el derecho de reunión, que podrá ejercerlo siempre que cuente con la necesaria autorización previa.;Todas las respuestas son correctas.;B;D;B;D;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 18 Ley 55/2003: El personal estatutario ostenta el derecho a la actividad sindical. El derecho de reunión no requiere autorización previa (art. 19 EM). La libre sindicación SÍ está reconocida. La opción correcta es la b) 'ostenta el derecho a la actividad sindical'. Respuesta B.
Común C2 (AUX + ADM);48;comun-t03_7;Procede la extinción de la condición de personal estatutario fijo de los servicios de salud:;Cuando se produzca la pérdida de la nacionalidad.;En caso de recaer sanción firme disciplinaria de separación del servicio.;Siempre que se imponga una pena principal o accesoria de inhabilitación especial para empleo o cargo público o para el ejercicio de la correspondiente profesión.;Todas las anteriores respuestas son correctas.;D;B;D;B;D;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 26 Ley 55/2003: Procede la extinción por: pérdida de la nacionalidad (a), sanción firme de separación del servicio (b), e inhabilitación especial (c). Las tres causas están contempladas, por tanto 'todas las anteriores' es correcto. Respuesta D.
Común C2 (AUX + ADM);64;comun-t04_5;La Ley 8/1997, de 26 de junio, de ordenación Sanitaria de Euskadi, establece respecto a las áreas de salud que:;La Comunidad Autónoma del País Vasco se divide territorialmente en áreas de salud de acuerdo con la situación socio-económica de cada demarcación geográfica.;En cada área de salud pueden ponerse en práctica las actuaciones esenciales que requiere la tutela general de la salud pública y exclusivamente la asistencia sanitaria primaria .;En cada área de salud se garantizará una adecuada ordenación de la atención primaria y su coordinación con la atención especializada.;Son correctas la a) y la c).;C;D;C;D;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 7 Ley 8/1997: Las áreas de salud son delimitadas en función de factores geográficos, socioeconómicos, demográficos y culturales. En cada área 'se garantizará una adecuada ordenación de la atención primaria y su coordinación con la atención especializada'. La opción C es la correcta. Respuesta C.
Común C2 (AUX + ADM);73;comun-t04_13;Según establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi:;El Plan de Salud de Euskadi debe ser aprobado por el Parlamento Vasco.;El Departamento competente en materia de sanidad debe elaborar semestralmente y remitir al Parlamento un informe con la evaluación de los objetivos y determinaciones del Plan de Salud de Euskadi.;El Departamento competente en materia de sanidad debe elaborar anualmente y remitir al Parlamento un informe con la evaluación de los objetivos y determinaciones del Plan de Salud de Euskadi.;Son correctas las respuestas a) y c).;C;C;D;C;D;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 8 Ley 8/1997: El Consejo Vasco de Salud es el órgano consultivo y de participación en materia sanitaria del Gobierno Vasco, presidido por el Consejero competente en sanidad, e integrado por representantes de las Administraciones implicadas, de los agentes sociales y de las organizaciones de consumidores y usuarios. La C recoge esta configuración. Respuesta C.
Común C2 (AUX + ADM);120;comun-t04_51;Según el Artículo 19.1 del Decreto 100/2018 de las organizaciones sanitarias integradas del ente público Osakidetza-Servicio Vasco de Salud, ¿quién ejerce la presidencia del Consejo Clínico Asistencial?;La persona titular de la Dirección Gerencia.;La persona titular de la Dirección Médica.;La persona titular de la Dirección de Enfermería.;La persona de mayor antigüedad en la vocalía de Atención Primaria.;B;A;B;A;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 5 Decreto 100/2018: Las OSI se crean mediante Decreto del Consejo de Gobierno a propuesta del Consejero de Salud, previo informe del Consejo de Administración de Osakidetza. Respuesta B.
Común C2 (AUX + ADM);260;comun-t16_5;En atención al III Plan de Normalización del Uso del Euskera en Osakidetza 2022-2028, señale la respuesta correcta:;“Aukeratu zeure hizkuntza/Elige tu lengua” es el lema de la campaña de activación del registro de la lengua preferente de cada paciente llevada a cabo en 2017. Se atribuye a todas las direcciones y gerencias de Osakidetza la responsabilidad de realizar la campaña con el lema “Aukeratu zeure hizkuntza/Elige tu lengua”.;c) “Aukeratu zeure hizkuntza/Elige tu lengua” es el lema de la campaña de activación del registro de la lengua preferente de cada paciente que realizará Osakidetza durante el primer año de planificación.;;“Aukeratu zeure hizkuntza/Elige tu lengua” es el lema de la campaña de activación del registro de la lengua preferente de cada paciente que realizará Osakidetza durante el tercer año de planificación.;C;A;C;A;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;III Plan Euskera Osakidetza 2022-2028: Los perfiles lingüísticos de los puestos de trabajo son requisitos de acreditación del nivel de euskera necesario para cada puesto. La C recoge correctamente la función y naturaleza de los perfiles lingüísticos. Respuesta C.
Común C2 (AUX + ADM);289;comun-t18_9;"Según la Ley Orgánica 3/2021, de 24 de marzo, de regulación de la eutanasia, ¿qué define como ""padecimiento grave, crónico e imposibilitante""?";Aquel que implica la existencia de sufrimiento físico o psíquico constante.;Aquel que genera una limitación que incide directamente sobre la autonomía física y capacidad de expresar su voluntad de la persona paciente.;La dependencia de otra persona para la realización de al menos dos actividades básicas de la vida diaria.;Una dolencia que ha sido declarada irreversible y con un pronóstico de vida inferior a seis meses.;B;A;B;A;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 3.c LO 3/2021: 'Padecimiento grave e incurable' es la enfermedad o condición resultante de una patología que incapacita de forma permanente para las actividades de la vida diaria y que no responde a los tratamientos disponibles. La B recoge esta definición legal. Respuesta B.
Común A2 / Técnico;60;tec-comun-t04_25;El número de integrantes del equipo directivo de las organizaciones de servicios sanitarios del ente público Osakidetza:;Oscilará entre dos y tres.;Oscilará entre tres y cuatro.;Oscilará entre cuatro y cinco.;La normativa no establece un número determinado sino un máximo de cinco.;A;B;D;B;D;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Decreto 100/2018, art. 9: El equipo directivo de cada organización de servicios de Osakidetza está compuesto por cuatro miembros: el Director/a, el Director/a Médico/a, el Director/a de Enfermería y el Director/a de Gestión. Respuesta A (4 miembros).
