Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaApp;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común A2 / Técnico;8;tec-comun-t02_8;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del SNS, la exclusión de una técnica o procedimiento de la cartera de servicios se llevará a cabo cuando:;Se evidencie su falta de eficacia, efectividad o eficiencia, o que el balance beneficio-riesgo sea significativamente desfavorable.;Requiera una formación para la que no exista la especialidad médica correspondiente.;Hayan cambiado las condiciones económicas de su implantación.;Todas las respuestas anteriores son correctas.;B;?;A;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";"Art. 9.2 Ley 16/2003: la exclusión procede por falta de eficacia, efectividad o eficiencia, o balance beneficio-riesgo desfavorable.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;10;tec-comun-t03_10;En el supuesto del personal estatutario de los servicios de salud:;El período de localización es aquel período de tiempo en el que el personal se encuentra únicamente en situación de disponibilidad.;Se considera período de descanso todo período de tiempo que no sea tiempo de trabajo.;El trabajo por turnos es una forma de organización del trabajo en equipo con arreglo al ritmo rotatorio y siempre de tipo continuo.;El período de localización es aquel período de tiempo en el que el personal se encuentra en situación de disponibilidad a los solos efectos de asegurar su posible localización.;D;?;B;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";Art. 49 Ley 55/2003: período de localización = período de disponibilidad a los solos efectos de asegurar la posible localización del profesional. No constituye tiempo de trabajo efectivo.
Común A2 / Técnico;8;tec-comun-t05_8;De acuerdo con el Decreto 100/2018 de las OSI de Osakidetza, ¿qué órganos componen el equipo directivo de una OSI, según la estructura general del artículo 5.2?;Solo la Dirección Gerencia y la Dirección Médica.;Las Direcciones Médica, de Atención Integrada, de Enfermería, de Personas, Económico-Financiera y de Gestión.;El Consejo de Dirección y el Consejo Social exclusivamente.;La Dirección Gerencia y las Jefaturas de Servicio de cada centro de salud.;B;?;A;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";Art. 5.2 Decreto 100/2018: el equipo directivo de una OSI (Tipos I y II) se compone de las Direcciones Médica, de Atención Integrada, de Enfermería, de Personas, Económico-Financiera y de Gestión.
Común A2 / Técnico;8;tec-comun-t08_8;Según dispone la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente, en caso de que la persona paciente no acepte el alta:;El personal facultativo, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la dirección del centro para que confirme o revoque la decisión.;El personal facultativo, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la autoridad judicial para que confirme o revoque la decisión.;La dirección del centro, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la autoridad judicial para que confirme o revoque la decisión.;La dirección del centro, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la autoridad administrativa competente.;D;?;A;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";Art. 21.2 Ley 41/2002: si el paciente no acepta el alta, la dirección del centro (no el facultativo), previa comprobación del informe clínico, le oirá y si persiste lo comunicará a la autoridad judicial.
Común A2 / Técnico;8;tec-comun-t09_8;Según dispone la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas, en el documento de voluntades anticipadas se tendrán por no puestas:;Las instrucciones que en el momento de ser aplicadas resulten contrarias al ordenamiento jurídico.;Las instrucciones que en el momento de ser otorgadas resulten contrarias al ordenamiento jurídico.;Las respuestas a) y b) son correctas.;Las instrucciones que en el momento de ser aplicadas no se aprueben por el comité de ética del centro.;C;?;A;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";Art. 2.3 Ley 7/2002: El DVA puede contener: instrucciones sobre tratamientos deseados o rechazados, designación de representante, y donación de órganos. No puede contener instrucciones contrarias al ordenamiento jurídico o a la buena práctica. La D recoge correctamente el contenido posible. Respuesta D.
Común A2 / Técnico;8;tec-comun-t11_8;De acuerdo con lo establecido en el artículo 54.3 del texto refundido de la Ley para la Igualdad de Mujeres y Hombres y Vidas Libres de Violencia Machista contra las Mujeres, aprobado por el Decreto Legislativo 1/2023, de 16 de marzo, ¿qué formas de violencia se incorporan como casos constitutivos de violencia machista?;Solo la violencia física y psicológica.;La violencia obstétrica, la política de género y la violencia digital.;Únicamente el acoso laboral.;No se detallan formas, se remite al Código Penal.;B;?;A;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";Art. 54.3 DL 1/2023: se incorporan como formas específicas de violencia machista la violencia obstétrica, la violencia política de género y la violencia digital, entre otras.
Común A2 / Técnico;8;tec-comun-t12_8;¿Qué enfoque de investigación prioriza el Plan de Salud Euskadi 2030 para asegurar que los avances científicos lleguen de forma efectiva a la práctica clínica y la salud de la población?;Enfoque de investigación básica y fundamental.;Enfoque de investigación traslacional.;Enfoque de investigación puramente epidemiológica.;Enfoque de investigación competitiva internacional.;B;?;A;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";Plan de Salud Euskadi 2030: prioriza el enfoque de investigación traslacional para que los avances científicos lleguen efectivamente a la práctica clínica y la salud poblacional.
Común A2 / Técnico;10;tec-comun-t13_10;En que grandes ambitos se estructuran las Lineas Estrategicas del Pacto Vasco de Salud?;"Cinco Lineas Estrategicas: prevencion y promocion; atencion a la enfermedad; calidad, innovacion y sostenibilidad; desarrollo de profesionales; y Gobernanza.";"Seis Lineas Estrategicas: prevencion y promocion; atencion a la enfermedad; areas prioritarias de salud; calidad, innovacion y sostenibilidad; desarrollo de profesionales; y transparencia y participacion ciudadana.";"Seis Lineas Estrategicas: prevencion y promocion; atencion a la enfermedad; areas prioritarias de salud; calidad, innovacion y sostenibilidad; desarrollo de profesionales; y gobernanza.";"Seis Lineas Estrategicas: prevencion y promocion; atencion sociosanitaria; areas prioritarias; calidad, innovacion y sostenibilidad; desarrollo de profesionales; y gobernanza.";C;?;B;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";El Pacto Vasco de Salud se estructura en 6 Lineas Estrategicas: prevencion/promocion, atencion a la enfermedad, areas prioritarias, calidad/innovacion/sostenibilidad, desarrollo de profesionales y gobernanza.
Común A2 / Técnico;8;tec-comun-t13_8;El principio de Innovacion en el Pacto Vasco de Salud se aplica a:;Exclusivamente a la aplicacion de nuevas tecnologias de imagen medica.;La I+D+i en todas las fases y dimensiones de la salud, incluyendo la organizativa y la asistencial.;La importacion de modelos de exito de otros sistemas sanitarios europeos.;La digitalizacion de la historia clinica en Osakidetza.;B;?;A;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";El principio de Innovacion del Pacto Vasco abarca la I+D+i en todas sus dimensiones: clinica, organizativa, tecnologica y de gestion.
Común A2 / Técnico;10;tec-comun-t14_10;Cual de las siguientes Lineas de Accion de la Estrategia de Seguridad del Paciente 20-30 NO esta relacionada con el sistema de utilizacion del medicamento?;L5. Conciliacion de la medicacion.;L14. Buenas practicas asociadas a la utilizacion de medicacion.;L6. Optimizacion en la prescripcion de pruebas diagnosticas que utilizan radiacion ionizante.;L7. Seguridad transfusional.;C;?;B;No;Sin datos Kaixo;"REVISAR: Kaixo no tiene este bloque; Osasun discrepa";La L6 (optimizacion en prescripcion de pruebas con radiacion ionizante) no esta relacionada con el sistema de medicacion, a diferencia de L5 (conciliacion), L14 (buenas practicas con medicacion) y L7 (transfusion).
