Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común C2 (AUX + ADM);15;comun-t01_15;Según la Ley 44/2003, de 21 de noviembre, de ordenación de las profesiones sanitarias, señale cuál de estas afirmaciones es incorrecta:;Los equipos de profesionales, una vez constituidos y aprobados en el seno de organizaciones o instituciones sanitarias, serán reconocidos y apoyados, y sus actuaciones facilitadas, por los órganos directivos y gestores de las mismas.;La responsabilidad de la capacidad del personal profesional para realizar una correcta actuación, en las tareas y funciones que les sean encomendadas en el proceso de distribución del trabajo en equipo, recaerá sobre los centros e instituciones en los que desempeñen su actividad.;Dentro de un equipo de profesionales, será posible la delegación de actuaciones si las condiciones bajo las que se producirá tal delegación están previamente establecidas dentro del equipo.;La responsabilidad de un equipo de profesionales recaerá en aquellas personas integrantes que hayan adquirido las tareas y funciones que hayan causado la responsabilidad, siempre que las condiciones de la delegación se adecúen a lo establecido.;B;B;D;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 10.3 Ley 44/2003: Los equipos de atención primaria son grupos de profesionales sanitarios y no sanitarios (no solo sanitarios) con organización jerarquizada. La afirmación de que el médico de familia siempre ostenta la coordinación del equipo es INCORRECTA (puede recaer en otro profesional según la organización). La D es la opción incorrecta. Respuesta B.
Común C2 (AUX + ADM);40;comun-t02_20;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la declaración de actuaciones coordinadas en salud pública y en seguridad alimentaria deberán encuadrarse en alguno de los supuestos siguientes:;Responder a situaciones de especial riesgo o alarma para la salud pública.;Establecer planes preventivos para hacer frente a situaciones de especial riesgo o alarma para la salud pública.;Realizar análisis epidemiológicos que permitan establecer estructuras y recursos según las previsiones en materia de salud pública y seguridad alimentaria.;Las respuestas a) y b) son verdaderas y la c) es falsa.;D;D;A;D;D;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 65 Ley 16/2003: Las actuaciones coordinadas en salud pública deberán encuadrarse en: responder a situaciones de especial riesgo o alarma (a), o establecer planes preventivos frente a esas situaciones (b). Los análisis epidemiológicos del apartado c) no constituyen por sí solos un supuesto de declaración de actuaciones coordinadas. Respuesta D (a y b correctas, c falsa).
Común C2 (AUX + ADM);117;comun-t04_48;Según el Artículo 16 del Decreto 100/2018 de las organizaciones sanitarias integradas del ente público Osakidetza-Servicio Vasco de Salud, ¿con qué periodicidad mínima debe reunirse el Consejo de Dirección de la OSI?;Semanalmente.;Mensualmente.;Trimestralmente.;Al menos cada dos meses.;B;B;D;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 5 Decreto 100/2018: Las OSI se crean mediante Decreto del Consejo de Gobierno a propuesta del Consejero de Salud, previo informe del Consejo de Administración de Osakidetza. Respuesta B.
Común C2 (AUX + ADM);122;comun-t04_53;Según el Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, todos los derechos y obligaciones establecidos son exigibles:;En relación a todas las acciones de carácter sanitario, incluyendo docencia, que se desarrollen en los centros, servicios o establecimientos sanitarios de titularidad pública o privada o concertados de Euskadi. Las acciones relativas a la investigación biomédica quedan fuera de esta Declaración y se rigen por su normativa específica.;En relación a todas las acciones de carácter sanitario, incluyendo docencia, que se desarrollen en los centros, servicios o establecimientos sanitarios de titularidad pública o concertados que integran el sistema sanitario de Euskadi. Las acciones relativas a la investigación biomédica quedan fuera de esta Declaración y se rigen por su normativa específica.;En relación a todas las acciones de carácter sanitario, incluyendo investigación y docencia, que se desarrollen en los centros, servicios o establecimientos sanitarios de titularidad pública o privada o concertados de Euskadi.;En relación a todas las acciones de carácter sanitario, incluyendo investigación y docencia, que se desarrollen en los centros, servicios o establecimientos sanitarios de titularidad pública o concertados que integran el sistema sanitario de Euskadi.;B;B;C;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Decreto 147/2015: Se reconoce el derecho a presentar quejas, reclamaciones y sugerencias, y a recibir respuesta por escrito en un plazo razonable. La B es correcta al recoger el procedimiento de reclamaciones en el sistema sanitario vasco. Respuesta B.
Común C2 (AUX + ADM);126;comun-t04_57;Según el Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, la persona paciente o usuaria tiene derecho:;A recibir información sobre los recursos sanitarios y socio-sanitarios disponibles, actuaciones y prestaciones del sistema sanitario de Euskadi, su calidad y requisitos de acceso a los mismos.;A recibir información sobre los recursos sanitarios y socio-sanitarios disponibles, actuaciones y prestaciones del sistema sanitario de Euskadi, su calidad y requisitos de acceso a los mismos, de manera individualizada o a través de medios que garanticen su accesibilidad a toda la ciudadanía.;A recibir información sobre los recursos sanitarios y socio-sanitarios disponibles, actuaciones y prestaciones del sistema sanitario de Euskadi, su calidad y requisitos de acceso a los mismos, así como los disponibles en otros sistemas sanitarios para facilitar que pueda optar por solicitarlos también fuera del sistema sanitario de Euskadi.;A recibir información sobre los recursos sanitarios y socio-sanitarios disponibles, actuaciones y prestaciones del sistema sanitario de Euskadi, su calidad, coste y requisitos de acceso a los mismos.;B;B;A;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Decreto 147/2015: Se reconoce el derecho a presentar quejas, reclamaciones y sugerencias, y a recibir respuesta por escrito en un plazo razonable. La B es correcta al recoger el procedimiento de reclamaciones en el sistema sanitario vasco. Respuesta B.
Común C2 (AUX + ADM);140;comun-t04_71;Según el Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, a las personas usuarias de los centros, servicios y establecimientos sanitarios citados en los apartados anteriores:;No les serán exigibles los deberes previstos en los artículos 14 a 17.;Les serán exigibles los deberes previstos en los artículos 14 a 17.;Les serán exigibles los deberes previstos en los artículos 16 y 17 en relación con la participación responsable en la gestión de la propia salud, así como en las relaciones asistenciales.;Les serán exigibles los deberes previstos en los artículos 15, 16 y 17 en relación con las políticas sanitarias, la participación responsable en la gestión de la propia salud, así como en las relaciones asistenciales.;B;B;C;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 43 Decreto 147/2015: A las personas usuarias de todos los centros sanitarios contemplados (incluidos privados y concertados) 'LES SERÁN EXIGIBLES LOS DEBERES PREVISTOS EN LOS ARTÍCULOS 14 A 17', es decir, todos los deberes establecidos. No se hace distinción ni reducción. Respuesta B.
Común C2 (AUX + ADM);178;comun-t10_8;Respecto a los sistemas de información de denuncias internas que contempla la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, es correcta la siguiente afirmación:;En todo caso, transcurridos tres meses desde la introducción de los datos, deberá procederse a su supresión del sistema de denuncias, salvo que la finalidad de la conservación sea dejar evidencia del funcionamiento del modelo de prevención de la comisión de delitos.;En todo caso, transcurridos seis meses desde la introducción de los datos, deberá procederse a su supresión del sistema de denuncias, salvo que la finalidad de la conservación sea dejar evidencia del funcionamiento del modelo de prevención de la comisión de delitos.;En todo caso, y sin excepción, transcurridos seis meses desde la introducción de los datos, deberá procederse a su supresión del sistema de denuncias.;La Ley no prevé plazo temporal alguno para la supresión de los datos del sistema de denuncias.;B;B;D;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 24 LO 3/2018: Los sistemas de denuncias internas deben garantizar la confidencialidad del denunciante. Los datos conservados sólo podrán ser accedidos por quienes sean indispensables para resolver la denuncia. La B recoge correctamente los requisitos de confidencialidad. Respuesta B.
Común C2 (AUX + ADM);238;comun-t14_8;¿Cuál de los siguientes es el Objetivo Específico número 1 de la “Estrategia de Seguridad del Paciente 20-30”, enfocado en el cambio interno?;Garantizar la continuidad de las líneas de acción y proyectos previamente implantados.;Impulsar la cultura de seguridad de paciente en las organizaciones de servicios de Osakidetza, promoviendo la formación y sensibilización como aspectos clave.;Optimizar la prescripción de pruebas diagnósticas que utilizan radiación ionizante.;Implantar un sistema de identificación inequívoca de pacientes en todas las fases del proceso asistencial.;B;B;A;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Estrategia de Seguridad del Paciente Osakidetza 20-30: El análisis de los incidentes de seguridad debe orientarse a la identificación de las causas raíz y los factores contribuyentes, con enfoque sistémico y no punitivo. Respuesta B.
Común A2 / Técnico;1;tec-comun-t01_1;De acuerdo con las normas generales de ordenación de las profesiones sanitarias, para poder ejercer una profesión sanitaria será requisito imprescindible:;La colegiación, cuando una ley estatal establezca esta obligación para el ejercicio de una profesión titulada o algunas actividades propias de ésta.;"La inexistencia de inhabilitación o suspensión para el ejercicio profesional por sentencia judicial, aunque no sea firme, durante el periodo de tiempo que fije ésta; por resolución sancionadora impuesta por un colegio profesional sanitario, cuando una ley estatal establezca para este ejercicio la obligación de pertenecer al colegio profesional respectivo durante el periodo de tiempo que fije ésta; o por resolución administrativa sancionadora firme, durante el periodo de tiempo que fije ésta, cuando se ejerza la profesión en el ámbito de la asistencia sanitaria pública.";Tener suscrito y vigente un seguro de responsabilidad, un aval u otra garantía financiera, ya sean de protección personal o colectiva, que cubra las indemnizaciones que se puedan derivar de la responsabilidad profesional por un eventual daño a las personas, causado con ocasión de la prestación de tal asistencia o servicios, cuando se ejerza la profesión en el ámbito de la asistencia sanitaria pública.;Todo lo anterior.;C;D;A;D;D;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 2 Ley 44/2003: Para ejercer una profesión sanitaria son requisitos: la colegiación (cuando ley estatal la exija), la inexistencia de inhabilitación o suspensión, Y tener suscrito seguro de responsabilidad cuando se ejerza en asistencia sanitaria pública. Al tratarse de requisitos acumulativos, 'todo lo anterior' es la respuesta correcta. Respuesta D.
Común A2 / Técnico;20;tec-comun-t02_10;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del SNS, la declaración de actuaciones coordinadas en salud pública y seguridad alimentaria deberán encuadrarse en alguno de los supuestos siguientes:;Responder a situaciones de especial riesgo o alarma para la salud pública.;Establecer planes preventivos para hacer frente a situaciones de especial riesgo o alarma para la salud pública.;Realizar análisis epidemiológicos que permitan establecer estructuras y recursos según previsiones en salud pública.;Las respuestas a) y b) son verdaderas y la c) es falsa.;D;D;A;D;D;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";"Art. 65 Ley 16/2003: actuaciones coordinadas para responder a riesgo/alarma (a) o establecer planes preventivos (b). Los análisis epidemiológicos (c) no son supuesto de declaración coordinada.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;41;tec-comun-t04_6;La Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi al contemplar los derechos y deberes ciudadanos, alude a:;La obligación de dejar constancia escrita de todo proceso diagnóstico o terapéutico.;La obligación de dejar constancia por cualquier medio de todo proceso diagnóstico.;La obligación de dejar constancia por cualquier medio de todo proceso diagnóstico o terapéutico.;No existe en la Ley ninguna previsión a este respecto, de modo que será el personal facultativo el que decida si el proceso diagnóstico o terapéutico debe quedar registrado.;A;C;A;C;C;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 10 Ley 8/1997: existe la obligación de dejar constancia por cualquier medio de todo proceso diagnóstico o terapéutico (no solo escrita, y abarca tanto diagnóstico como terapéutico).
Común A2 / Técnico;53;tec-comun-t04_18;La composición del Consejo del ente público Osakidetza-Servicio Vasco de Salud contará, además de la persona que ejerza la Presidencia:;Con cinco integrantes: uno a propuesta de Hacienda y Administración Pública, otro a propuesta de Bienestar Social y tres a propuesta de la persona titular de Sanidad.;Con cinco integrantes: uno a propuesta de Hacienda y Administración Pública, otro a propuesta de la Consejería de Presidencia y tres a propuesta de la persona titular de Sanidad.;Con cinco integrantes: dos a propuesta de Hacienda y Administración Pública y tres a propuesta de la persona titular de Sanidad.;Ninguna de los anteriores.;A;A;C;A;A;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 30 Ley 8/1997: el Consejo de Administración de Osakidetza incluye 5 miembros: 1 de Hacienda y AP, 1 de Bienestar Social y 3 del Departamento de Sanidad.
Común A2 / Técnico;54;tec-comun-t04_19;La propuesta de Plan Estratégico del ente público Osakidetza-Servicio Vasco de Salud:;Será formulada por la Dirección General del Ente.;Será aprobada por la Presidencia del Ente.;Será sometida a informe del Consejo de Administración del Ente.;Todas las anteriores son ciertas.;A;D;A;D;D;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 31 Ley 8/1997: la Dirección General formula el Plan Estratégico, la Presidencia lo aprueba, y el Consejo de Administración lo informa. Todas las afirmaciones son correctas.
Común A2 / Técnico;65;tec-comun-t04_30;En el ámbito de una organización de servicios sanitarios del ente público Osakidetza, presidir los Consejos Técnicos de participación profesional y promover su eficaz funcionamiento es una tarea que corresponde a:;La Dirección General del Ente.;Quien ostente la titularidad de la Dirección-Gerencia del Ente.;La Dirección Médica del Ente.;Ninguna de las anteriores.;B;B;C;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";La Dirección-Gerencia de cada organización de servicios preside los Consejos Técnicos de participación profesional y promueve su eficaz funcionamiento.
Común A2 / Técnico;99;tec-comun-t09_3;Según la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas, si el nombramiento de representante en el documento de instrucciones previas ha recaído en favor de la persona cónyuge o pareja de hecho de la persona otorgante:;Se extingue a partir, bien de la interposición de la demanda de nulidad, separación matrimonial o divorcio, bien de la extinción formalizada de la pareja de hecho o unión libre. Para el mantenimiento de la designación será necesario, en caso de nulidad, separación matrimonial o divorcio, que conste expresamente en la resolución judicial dictada al efecto.;Se extingue a partir bien de la nulidad, separación matrimonial o divorcio, bien de la extinción formalizada de la pareja de hecho o unión libre. Para el mantenimiento será necesario que conste en la resolución judicial.;Se extingue a partir, bien de la interposición de la demanda de nulidad, separación matrimonial o divorcio, bien de la extinción formalizada de la pareja de hecho. Para el mantenimiento será necesario que conste en el documento de instrucciones previas.;Se extingue bien a partir de la nulidad, separación matrimonial o divorcio, bien de la extinción formalizada de la pareja de hecho. Para el mantenimiento será necesario que conste en el documento de instrucciones previas.;D;D;A;D;D;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";"Art. 3 bis Ley 7/2002: el nombramiento de representante en favor de cónyuge o pareja de hecho se extingue desde la interposición de la demanda (no desde la sentencia) de nulidad/separación/divorcio, o desde la extinción formalizada de la pareja. Para mantenerlo hay que hacerlo constar en resolución judicial.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
