Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Técnico Superior Administrativo (específico);160;tec-t06_10;Diga cuál de los siguientes NO forma parte de los principios y criterios de ordenación del régimen estatutario:;La libre circulación del personal estatutario en el conjunto del Sistema Nacional de Salud.;La dedicación prioritaria al servicio público.;El acuerdo con las organizaciones sindicales en la determinación de las condiciones de trabajo.;La igualdad, mérito, capacidad y publicidad en el acceso a la condición de personal estatutario.;B;B;C;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;"Art. 4 Ley 55/2003: los principios de ordenación del régimen estatutario incluyen libre circulación, igualdad en el acceso, negociación colectiva, entre otros. La ""dedicación prioritaria al servicio público"" no figura como principio de ordenación del régimen estatutario."
Técnico Superior Administrativo (específico);164;tec-t06_14;Conforme a la Ley 55/2003, el catálogo homogéneo de equivalencias de categorías profesionales de los distintos servicios de salud, ¿cuya aprobación corresponde a quién?;A la Comisión de Recursos Humanos del Sistema Nacional de Salud.;Al Consejo Interterritorial del Sistema Nacional de Salud.;Al Foro Marco para el Diálogo Social.;Todas las respuestas anteriores son incorrectas.;A;A;D;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 8 Ley 55/2003: la Comisión de Recursos Humanos del Sistema Nacional de Salud es el órgano competente para aprobar el catálogo homogéneo de equivalencias entre las categorías profesionales de los distintos servicios de salud.
Técnico Superior Administrativo (específico);170;tec-t06_20;Conforme a la Ley 55/2003, cuando de un procedimiento de movilidad se derive cambio en el servicio de salud de destino, el plazo de toma de posesión será de:;Treinta días, a contar desde el día del cese en el destino anterior, que deberá tener lugar en los tres días siguientes a la notificación o publicación del nuevo destino adjudicado.;Treinta días, a contar desde el día del cese en el destino anterior, que deberá tener lugar en los diez días siguientes a la notificación o publicación del nuevo destino adjudicado.;Un mes, a contar desde el día del cese en el destino anterior, que deberá tener lugar en los tres días siguientes a la notificación o publicación del nuevo destino adjudicado.;Un mes, a contar desde el día del cese en el destino anterior, que deberá tener lugar en los diez días siguientes a la notificación o publicación del nuevo destino adjudicado.;A;A;C;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 39 Ley 55/2003: cuando la movilidad implica cambio de servicio de salud, el cese en el destino anterior debe producirse en los tres días siguientes a la notificación y el plazo de toma de posesión es de treinta días desde el cese.
Técnico Superior Administrativo (específico);174;tec-t06_24;Conforme a la Ley 55/2003, la persona interesada tendrá derecho a incorporarse a plaza de la misma categoría y área de salud en que prestaba sus servicios, si la revisión de incapacidad se produce:;Dentro de los cinco años siguientes a la fecha de la declaración de incapacidad.;Dentro de los tres años siguientes a la fecha de la declaración de incapacidad.;Dentro de los dos años siguientes a la fecha de la declaración de incapacidad.;Dentro de los cuatro años siguientes a la fecha de la declaración de incapacidad.;A;A;D;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 57.3 Ley 55/2003: cuando la condición de personal estatutario se pierde por incapacidad y esta es revisada, la persona tiene derecho a reincorporarse si la revisión se produce dentro de los cinco años siguientes a la declaración de incapacidad.
Técnico Superior Administrativo (específico);175;tec-t06_25;Conforme a la Ley 55/2003, los procedimientos de movilidad voluntaria del personal estatutario se efectuarán preferentemente:;Cada año.;Cada dos años.;Cada dieciocho meses.;Cada tres años.;A;A;B;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 37 Ley 55/2003: los procedimientos de movilidad voluntaria mediante concurso se convocarán con carácter general, como mínimo, cada dos años. La frecuencia preferente según la norma es anual.
Técnico Superior Administrativo (específico);189;tec-t06_39;Conforme a la Ley 55/2003, el quebranto de la debida reserva respecto a datos relativos al centro o institución o a la intimidad personal de las personas usuarias y a la información relacionada con su proceso:;Constituye falta muy grave.;Constituye falta grave.;Constituye falta leve.;Constituye un incumplimiento del ordenamiento jurídico, no tipificado como falta.;B;B;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 73 Ley 55/2003: el quebranto de la debida reserva respecto a datos del centro o de la intimidad de los pacientes, cuando no constituya falta muy grave, es tipificado como falta grave.
Técnico Superior Administrativo (específico);190;tec-t06_40;Conforme a la Ley 55/2003, el acoso sexual, cuando el sujeto activo del acoso crea con su conducta un entorno laboral intimidatorio, hostil o humillante para la persona que es objeto del mismo:;Constituye falta muy grave.;Constituye falta grave.;Constituye falta leve.;Constituye un incumplimiento del ordenamiento jurídico, no tipificado como falta.;A;A;B;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 72 Ley 55/2003: el acoso sexual que cree un entorno intimidatorio, hostil o humillante constituye falta muy grave, independientemente de que no exista una demanda concreta de favores sexuales.
Técnico Superior Administrativo (específico);200;tec-t06_50;Conforme al EBEP, se EXCLUYE de la obligatoriedad de la negociación colectiva:;La regulación y determinación concreta de los sistemas, criterios, órganos y procedimientos de acceso al empleo público y la promoción profesional.;Los planes de Previsión Social Complementaria.;Las materias que afecten a las condiciones de trabajo y a las retribuciones de las personas funcionarias, cuya regulación exija norma con rango de ley.;Las materias referidas a calendario laboral, horarios, jornadas, vacaciones, permisos y movilidad funcional y geográfica.;C;C;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 37.2 EBEP: quedan excluidas de la obligación de negociación las materias que afecten a las potestades de organización de las AAPP y aquellas cuya regulación exija norma con rango de ley, como las condiciones retributivas que requieran ley.
Técnico Superior Administrativo (específico);207;tec-t07_4;En base al Decreto 186/2025 de Puestos Funcionales de Osakidetza, el órgano competente para aprobar la plantilla funcional de cada organización de servicios es:;La Dirección Gerencia de la propia Organización de Servicios.;La Consejería de Sanidad.;El Consejo de Administración de Osakidetza.;El Consejo de Gobierno.;C;C;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Decreto 186/2025: la aprobación de la plantilla funcional de cada organización de servicios de Osakidetza corresponde al Consejo de Administración del Ente Público.
Técnico Superior Administrativo (específico);219;tec-t07_16;Las infracciones tipificadas en la Ley Orgánica 7/2021 calificadas como graves por parte de la Autoridad Vasca de Protección de Datos:;Prescriben a los 5 años.;Prescriben a los 4 años.;Prescriben a los 3 años.;Prescriben a los 2 años.;C;C;D;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;LO 7/2021 y normativa de protección de datos: las infracciones graves en materia de protección de datos prescriben a los tres años desde que se cometieron o desde que el responsable pudo ser conocido.
Técnico Superior Administrativo (específico);220;tec-t07_17;Las sanciones económicas en aplicación del reglamento europeo en materia de protección de datos que la Autoridad Vasca de Protección de Datos imponga por un importe igual a 50.000 euros:;Prescriben a los 5 años.;Prescriben a los 4 años.;Prescriben a los 3 años.;Prescriben a los 2 años.;C;C;D;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Normativa de protección de datos (LOPDGDD y RGPD): las sanciones impuestas en aplicación del RGPD prescriben en función de su cuantía. Las sanciones de importe medio (como 50.000 euros) prescriben a los tres años.
Técnico Superior Administrativo (específico);222;tec-t07_19;Conforme al Real Decreto Legislativo 8/2015, a los efectos del derecho a percibir prestaciones contributivas, diga cuál de estas afirmaciones es cierta:;No tendrán la consideración de trabajadora/or por cuenta ajena las hijas e hijos de la persona empresaria, aunque no convivan en su hogar ni estén a su cargo.;Si la persona empresaria es trabajadora autónoma, podrá contratar como trabajadora/or por cuenta ajena a su cónyuge y a las hijas e hijos que convivan con ella.;Si la persona empresaria es trabajadora autónoma, podrá contratar como trabajadora/or por cuenta ajena a las hijas e hijos menores de 30 años aunque convivan con ella.;Las tres afirmaciones anteriores son falsas.;D;D;C;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 12 LGSS: no tienen la consideración de trabajadores por cuenta ajena el cónyuge, los descendientes y demás parientes hasta segundo grado que convivan y trabajen con el empresario autónomo, salvo que se pruebe la condición de asalariados. Las tres opciones anteriores contienen inexactitudes.
Técnico Superior Administrativo (específico);225;tec-t07_22;Conforme al Real Decreto Legislativo 8/2015, señale cuál de los siguientes grupos se encuentran integrados en regímenes especiales con tendencia a la homogeneidad con el Régimen General:;Personas trabajadoras del mar y personal funcionario público, civil y militar.;Personas trabajadoras por cuenta propia o autónomas y estudiantado.;Personas trabajadoras por cuenta propia o autónomas y personas trabajadoras del mar.;Ninguna de las anteriores respuestas es correcta.;C;C;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 10.2 LGSS: los regímenes especiales que deben tender a la homogeneidad con el Régimen General son el RETA (autónomos) y el Régimen Especial del Mar. El personal funcionario tiene régimen propio diferente.
Técnico Superior Administrativo (específico);238;tec-t08_8;Conforme a la Ley 8/1997, en materia de determinación de condiciones de trabajo en Osakidetza:;Los acuerdos requieren para su validez la aprobación expresa y formal del Consejo de Gobierno.;En caso de desacuerdo corresponderá al Consejo de Administración determinar unilateralmente las condiciones de trabajo.;Se mantendrá en todo caso un marco único de negociación colectiva en el ente Osakidetza.;La resolución de conflictos corresponderá exclusivamente al Parlamento Vasco.;C;C;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 22 Ley 8/1997: en Osakidetza se mantendrá un marco único de negociación colectiva, garantizando la uniformidad de las condiciones de trabajo para todo el personal del ente público.
Técnico Superior Administrativo (específico);291;tec-hacienda-pv_18;La Ley de Principios Ordenadores de la Hacienda General del País Vasco incluye como ingreso de derecho público, el siguiente ingreso:;Aportaciones de las Diputaciones Forales derivados de los rendimientos por Tributos.;Herencias y Donaciones.;Indemnizaciones por daños y perjuicios producidos a los derechos de naturaleza pública.;Todas las respuestas son verdaderas.;?;C;D;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 32.i DL 1/1997: son ingresos de derecho público las indemnizaciones por daños y perjuicios producidos a los derechos de naturaleza pública. Las herencias y donaciones son ingresos de derecho privado (Art. 38.b).
Técnico Superior Administrativo (específico);292;tec-hacienda-pv_19;La Ley de Principios Ordenadores de la Hacienda General del País Vasco considera, sobre los tributos:;Que se gestionan por las Diputaciones Forales.;Que solo pueden ser tasas.;Que su creación no requiere ley.;Que tienen naturaleza fiscal y se reflejan en los presupuestos.;?;D;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 34.2 DL 1/1997: todos los tributos de la Comunidad Autónoma de Euskadi tendrán naturaleza de fiscales y quedarán reflejados en sus correspondientes Presupuestos.
Técnico Superior Administrativo (específico);299;tec-presupuesto-euskadi_6;Las disposiciones legales vigentes en materia de régimen presupuestario de Euskadi establecen que los Presupuestos de los Organismos Autónomos Mercantiles comprenderán:;Dotaciones de gastos y de ingresos del ejercicio.;Dotaciones de inversiones y financiación del ejercicio.;Un estado de compromisos futuros.;Todas las respuestas son verdaderas.;?;D;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 8 DL 1/2011: los Presupuestos de los Organismos Autónomos Mercantiles comprenden dotaciones de gastos y de ingresos, dotaciones de inversiones y financiación del ejercicio, así como un estado de compromisos futuros.
Técnico Superior Administrativo (específico);339;tec-economia-empresa_26;Selección de inversiones. La TIR es:;La tasa que maximiza el VAN.;La tasa de descuento que hace VAN = 0.;El coste medio ponderado del capital.;El tipo de interés sin riesgo actualizado.;?;B;C;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;La Tasa Interna de Retorno (TIR) es la tasa de descuento que hace que el VAN del proyecto sea igual a cero. Representa la rentabilidad propia del proyecto.
Técnico Superior Administrativo (específico);346;tec-economia-empresa_33;Riesgo y valoración de empresas. Relación entre rentabilidad financiera (RF) y económica (RE) con endeudamiento L = D/K y coste de deuda kᵢ:;RF = RE – (RE – kᵢ)·L.;RF = RE + (RE – kᵢ)·L;RF = RE · (1 – L).;RF = kᵢ + L/RE.;?;B;E;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;RF = RE + (RE – kᵢ) × L, donde L = D/K (ratio de endeudamiento) y kᵢ es el coste de la deuda. Si RE > kᵢ, el endeudamiento aumenta la rentabilidad financiera (efecto multiplicador positivo del apalancamiento financiero).
