Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común C2 (AUX + ADM);23;comun-t02_3;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la ciudadanía tendrá los siguientes derechos en el conjunto del Sistema Nacional de Salud:;A recibir asistencia sanitaria en su comunidad autónoma de residencia.;A recibir el reembolso de los gastos derivados de la asistencia en la sanidad privada cuando se trate de servicios recogidos en el catálogo de prestaciones del Sistema Nacional de Salud.;A recibir el reembolso de los gastos derivados de la asistencia sanitaria del catálogo de prestaciones del Sistema Nacional de Salud que pudiera requerir del servicio de salud de la comunidad autónoma en la que se encuentre desplazado/a.;Ninguna de las respuestas anteriores es correcta.;C;A;D;A;C;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 7 Ley 16/2003: La cartera de servicios comunes del SNS se establece mediante Real Decreto del Consejo de Ministros, a propuesta del Ministro de Sanidad, previo acuerdo del Consejo Interterritorial. Se actualiza periódicamente. La C recoge correctamente el procedimiento de aprobación y actualización. Respuesta C.
Común C2 (AUX + ADM);58;comun-t03_17;La Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud regula el descanso semanal. Señale la respuesta que no es correcta:;El personal tendrá derecho a un período mínimo que siempre será fijo de descanso ininterrumpido con una duración media de 24 horas semanales.;El período de referencia para el cálculo del período de descanso semanal será de tres meses.;En el caso de que no se hubiera disfrutado del tiempo mínimo de descanso semanal en el período de tres meses se producirá una compensación a través del régimen de descansos alternativos.;El período de referencia para el cálculo del período de descanso semanal será de dos meses.;C;D;B;D;A;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 38 Ley 55/2003: La promoción interna temporal consiste en la ocupación transitoria de plazas de categoría superior, manteniéndose la relación estatutaria de origen. Tiene carácter excepcional y requiere cumplir los requisitos exigidos para el ingreso en la categoría superior. Respuesta C.
Común C2 (AUX + ADM);81;comun-t04_20;El ente público Osakidetza-Servicio Vasco de Salud es:;El Ente Institucional de la Comunidad Autónoma, de naturaleza pública y bajo la calificación de ente público de derecho privado o público.;El Ente Institucional de la Comunidad Autónoma, de naturaleza pública y bajo la calificación de ente público de derecho público;El Ente Institucional de la Comunidad Autónoma, de naturaleza pública y bajo la calificación de ente público de derecho privado;Las tres anteriores son erróneas;A;D;C;D;A;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 31 Ley 8/1997 y Decreto 255/1997: Osakidetza es un ente público de derecho privado, con personalidad jurídica propia y plena capacidad para el cumplimiento de sus fines, sometido al derecho privado en sus relaciones externas excepto en el ejercicio de potestades públicas. No es organismo autónomo ni agencia, sino ente público. Respuesta A.
Común C2 (AUX + ADM);100;comun-t04_31;En el ámbito de una organización de servicios sanitarios del ente público Osakidetza-Servicio Vasco de Salud, presidir los Consejos Técnicos de participación profesional y promover su eficaz funcionamiento es una tarea que corresponde a:;La Dirección General del Ente.;Quien ostente la titularidad de la Dirección-Gerencia del Ente.;La Dirección Médica del Ente.;Ninguna de las anteriores.;B;D;C;D;B;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Decreto 255/1997: La presidencia de los Consejos Técnicos de participación profesional y promover su eficaz funcionamiento corresponde a 'quien ostente la titularidad de la DIRECCIÓN-GERENCIA del Ente.' Respuesta B.
Común C2 (AUX + ADM);107;comun-t04_38;Según el Decreto 100/2018 de las organizaciones sanitarias integradas del ente público Osakidetza-Servicio Vasco de Salud, para que una OSI sea clasificada como de Tipo III debe integrar, junto con servicios de atención primaria, un hospital de carácter general y tener una base poblacional atendida inferior a:;500.000 habitantes.;200.000 habitantes.;300.000 habitantes.;100.000 habitantes.;B;D;C;D;B;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 4 Decreto 100/2018: Las OSI de Tipo III integran atención primaria con hospital general y tienen una base poblacional atendida inferior a 200.000 habitantes. Respuesta B.
Común C2 (AUX + ADM);124;comun-t04_55;El Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, distingue bloques de derechos relacionados con los siguientes ámbitos:;"Relaciones asistenciales; participación responsable en la gestión de la propia salud; organización y gestión del sistema sanitario de Euskadi; políticas sanitarias específicas; asistencia sanitaria específica vinculada a la infancia y adolescencia; asistencia sanitaria específica referida a la salud sexual y reproductiva; asistencia sanitaria específica referida a las personas mayores; asistencia sanitaria específica referida al final de la vida; participación en la investigación biomédica; obtención de la Tarjeta Individual Sanitaria.";"Relaciones asistenciales; participación responsable en la gestión de la propia salud; organización y gestión del sistema sanitario de Euskadi; políticas sanitarias específicas; asistencia sanitaria específica vinculada a la infancia y adolescencia; asistencia sanitaria específica referida a la salud sexual y reproductiva; asistencia sanitaria específica referida a las personas mayores; asistencia sanitaria específica referida al final de la vida; derechos en relación con la docencia del personal sanitario, obtención de la Tarjeta Individual Sanitaria.";"Relaciones asistenciales; participación responsable en la gestión de la propia salud; organización y gestión del sistema sanitario de Euskadi; políticas sanitarias específicas; asistencia sanitaria específica vinculada a la infancia y adolescencia; asistencia sanitaria específica referida a la salud sexual y reproductiva; asistencia sanitaria específica referida a las personas mayores; asistencia sanitaria específica referida al final de la vida; medidas de salud pública; obtención de la Tarjeta Individual Sanitaria.";"Relaciones asistenciales; participación responsable en la gestión de la propia salud; organización y gestión del sistema sanitario de Euskadi; políticas sanitarias específicas; asistencia sanitaria específica vinculada a la infancia y adolescencia; asistencia sanitaria específica referida a la salud sexual y reproductiva; asistencia sanitaria específica referida a las personas mayores; asistencia sanitaria específica referida al final de la vida; obtención de la Tarjeta Individual Sanitaria.";B;C;D;C;A;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Ámbitos D.147/2015 incluyen investigación biomédica.
Común C2 (AUX + ADM);290;comun-t18_10;Según la Ley Orgánica 3/2021, de 24 de marzo, de regulación de la eutanasia, ¿cuál es el plazo que tiene la persona facultativa responsable para comunicar la resolución favorable a la Comisión de Garantía y Evaluación para su posterior verificación?;Dentro de las 24 horas siguientes a la resolución.;Dentro del día siguiente natural a la resolución.;7 días desde la resolución favorable.;No existe un plazo establecido para esta comunicación.;B;D;A;D;B;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 3 LO 3/2021: La ley distingue entre 'eutanasia' (médico administra directamente la sustancia) y 'suicidio médicamente asistido' (médico prescribe o suministra la sustancia pero la administra la propia persona). Respuesta B.
Común A2 / Técnico;30;tec-comun-t03_10;En el supuesto del personal estatutario de los servicios de salud:;El período de localización es aquel período de tiempo en el que el personal se encuentra únicamente en situación de disponibilidad.;Se considera período de descanso todo período de tiempo que no sea tiempo de trabajo.;El trabajo por turnos es una forma de organización del trabajo en equipo con arreglo al ritmo rotatorio y siempre de tipo continuo.;El período de localización es aquel período de tiempo en el que el personal se encuentra en situación de disponibilidad a los solos efectos de asegurar su posible localización.;D;D;B;D;C;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 49 Ley 55/2003: período de localización = período de disponibilidad a los solos efectos de asegurar la posible localización del profesional. No constituye tiempo de trabajo efectivo.
Común A2 / Técnico;48;tec-comun-t04_13;Según establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi, en materia de sanciones señale la respuesta correcta:;Las infracciones serán sancionadas exclusivamente con sanción pecuniaria o económica.;En los casos de infracciones muy graves, el Gobierno Vasco podrá acordar el cierre temporal del establecimiento por un plazo máximo de cinco años.;Sin perjuicio de la multa que proceda imponer, en ciertos casos, la sanción económica que se imponga podrá ser incrementada hasta el triple de la cuantía del beneficio ilícito obtenido.;En los casos de infracciones muy graves, el Gobierno Vasco podrá acordar el cierre temporal del establecimiento por un plazo máximo de tres años.;C;A;B;C;A;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 49 Ley 8/1997: en determinados casos, la sanción económica puede incrementarse hasta el triple del beneficio ilícito obtenido. El cierre temporal máximo es 5 años (no 3), y las sanciones no son solo pecuniarias.
Común A2 / Técnico;52;tec-comun-t04_17;La función de nombrar y separar a quienes ocupen las Direcciones de División de la organización central del ente público corresponde a:;El Consejo de Administración del Ente.;La Dirección General del Ente.;La Presidencia del Ente.;Ninguno de los anteriores.;B;B;A;B;C;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Decreto 255/1997, art. 22: El nombramiento y separación de los Directores de División de la organización central de Osakidetza es competencia del Consejo de Administración, a propuesta del Director General. La app indica C (Director General) pero la competencia recae en el Consejo de Administración. Respuesta B.
